pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
2931;2931;Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych;Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
2932;2932;Produkcja pozostałych części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli;Produkcja pozostałych części i akcesoriów do pojazdów silnikowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3011;3011;Produkcja statków i konstrukcji pływających;Produkcja cywilnych statków i konstrukcji pływających;"budowa statków komercyjnych: statków pasażerskich, promów, statków handlowych, tankowców, holowników; budowa łodzi rybackich, statków-przetwórni i pozostałych statków do przetwarzania lub konserwowania produktów rybołówstwa; budowa poduszkowców (z wyjątkiem poduszkowców rekreacyjnych); budowa platform wiertniczych, pływających lub podwodnych; budowa konstrukcji pływających, np: doki pływające, pontony, koferdamy, pływające przystanie, boje, zbiorniki pływające, barki, zapalniczki, dźwigi pływające, nierekreacyjne tratwy nadmuchiwane itp.; produkcja sekcji dla statków i konstrukcji pływających; produkcja dronów podwodnych; fabryczna przebudowa statków; instalacja wnętrza technicznego łodzi"
3011;3013;Produkcja statków i konstrukcji pływających;Produkcja wojskowych okrętów i jednostek pływających;"produkcja wojskowych okrętów i statków, na przykład okrętów przeznaczonych do prowadzenia działań wojennych, wyposażonych w różnego rodzaju broń ofensywną i defensywną oraz urządzenia ochronne zabezpieczające przed pociskami, a także produkcja wojskowych maszyn pływających np: lotniskowców, amfibii i okrętów szturmowych,   - krążowników, niszczycieli, okrętów podwodnych, okrętów desantowych; produkcja holowników do transportu amunicji lub min; fabryczna przebudowa wojskowych statków, okrętów i konstrukcji pływających"
3012;3012;Produkcja łodzi wycieczkowych i sportowych;Produkcja łodzi wypoczynkowych i sportowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3020;3020;Produkcja lokomotyw kolejowych oraz taboru szynowego;Produkcja lokomotyw kolejowych oraz taboru szynowego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3030;3031;Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn;Produkcja cywilnych statków powietrznych, statków kosmicznych oraz podobnych maszyn;"produkcja samolotów do transportu towarów lub pasażerów, do celów sportowych lub do innych zastosowań;  produkcja śmigłowców; produkcja szybowców i lotni; produkcja sterowców i balonów na ogrzane powietrze; produkcja części i akcesoriów do statków powietrznych klasy: głównych zespołów, takich jak kadłuby, skrzydła, drzwi, powierzchnie sterowe, podwozia, zbiorniki paliwa, gondole itp., śruby lotnicze, wirniki śmigłowców i napędzane łopaty wirnika, silniki do samolotów cywilnych, silniki turboodrzutowe i turbośmigłowe w rodzaju typowych dla cywilnych statków powietrznych, części nadające się do stosowania wyłącznie lub głównie z silnikami tłokowymi wewnętrznego spalania do cywilnych statków powietrznych; produkcja naziemnych samolotów szkoleniowych; produkcja pocisków rakietowych do celów kosmicznych i cywilnych; produkcja statków kosmicznych i pojazdów nośnych, satelitów, sond planetarnych, stacji orbitalnych, wahadłowców; produkcja cywilnych bezzałogowych statków powietrznych (dronów); remonty i przebudowa cywilnych statków powietrznych lub silników lotniczych; produkcja foteli do cywilnych statków powietrznych"
3030;3032;Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn;Produkcja wojskowych statków powietrznych, statków kosmicznych oraz podobnych maszyn;produkcja wojskowych statków powietrznych i statków kosmicznych oraz ich maszyn, na przykład:  stałopłatów, wiropłatów o ruchomych silnikach typu tiltrotor, wiropłatów, dronów do celów wojskowych (bezzałogowych statków powietrznych (UAV)
3040;3040;Produkcja wojskowych pojazdów bojowych;Produkcja wojskowych pojazdów bojowych;"produkcja wojskowych pojazdów bojowych, nawet z uzbrojeniem oraz części tych pojazdów, na przykład: produkcja czołgów, produkcja opancerzonych pojazdów bojowych do przewozu osób, produkcja opancerzonych pojazdów dostawczych lub opancerzonych pojazdów ratunkowych z dźwigami; produkcja opancerzonych amfibijnych pojazdów wojskowych; produkcja zdalnie sterowanych czołgów; produkcja nadwozi opancerzonych pojazdów bojowych i ich części, np. wieżyczek opancerzonych, drzwi i pokryw opancerzonych; produkcja płyt pancernych, które można zidentyfikować jako części wojskowych pojazdów bojowych; produkcja specjalnych gąsienic oraz specjalnych kół i kół napędowych do opancerzonych pojazdów bojowych; remonty fabryczne i przebudowa wojskowych wozów bojowych"
3040;3318;Produkcja wojskowych pojazdów bojowych;Naprawa i konserwacja wojskowych pojazdów bojowych, okrętów, łodzi, statków powietrznych i statków kosmicznych;naprawa i konserwacja wojskowych pojazdów bojowych
3091;3091;Produkcja motocykli;Produkcja motocykli;produkcja motocykli i motorowerów, produkcja silników do motocykli, produkcja wózków motocyklowych bocznych, produkcja części i akcesoriów do motocykli, na przykład hamulców, skrzyń biegów, sprzęgieł, kół jezdnych, tłumików i rur wydechowych oraz ich części
3091;3092;Produkcja motocykli;Produkcja rowerów i wózków inwalidzkich;produkcja rowerów z pomocniczym silnikiem elektrycznym
3092;3092;Produkcja rowerów i wózków inwalidzkich;Produkcja rowerów i wózków inwalidzkich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3099;3099;Produkcja pozostałego sprzętu transportowego, gdzie indziej niesklasyfikowana;Produkcja pozostałego sprzętu transportowego, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3101;3100;Produkcja mebli biurowych i sklepowych;Produkcja mebli;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3102;3100;Produkcja mebli kuchennych;Produkcja mebli;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3103;3100;Produkcja materaców;Produkcja mebli;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3109;3100;Produkcja pozostałych mebli;Produkcja mebli;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3211;3211;Produkcja monet;Produkcja monet;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3212;3212;Produkcja wyrobów jubilerskich i podobnych;Produkcja wyrobów jubilerskich i podobnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3213;3213;Produkcja sztucznej biżuterii i wyrobów podobnych;Produkcja sztucznej biżuterii i wyrobów podobnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3220;3220;Produkcja instrumentów muzycznych;Produkcja instrumentów muzycznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3230;3230;Produkcja sprzętu sportowego;Produkcja sprzętu sportowego;"produkcja artykułów i sprzętu, do uprawiania sportu i gier na otwartym powietrzu i w pomieszczeniach, wykonanych z dowolnego materiału, na przykład: piłek twardych, miękkich i nadmuchiwanych, rakiet, rakietek, kijów golfowych, nart, wiązań i kijków narciarskich, butów narciarskie, butów snowboardowych i obuwia do narciarstwa biegowego, desek do windsurfingu, desek surfingowych i nart wodnych, akcesoria do wędkarstwa sportowego, w tym podbieraki; wabiki na ptaki i podobne artykuły myśliwskie lub strzeleckie; artykuły i sprzęt do wspinaczki górskiej; rękawice sportowe ze skóry wyprawionej lub skóry kompozytowej; baseny do pływania i brodziki; łyżwy, wrotki; łuki i kusze; wyposażenie sal gimnastycznych, centrów fitness oraz sprzęt lekkoatletyczny"
3230;3299;Produkcja sprzętu sportowego;Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana;produkcja nakryć głowy do uprawiania sportu
3240;3240;Produkcja gier i zabawek;Produkcja gier i zabawek;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3250;2660;Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego;"produkcja aparatury do sztucznego oddychania lub oddychania terapeutycznego; produkcja aparatury do wibracyjnego masażu elektrycznego"
3250;3250;Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne;Produkcja urządzeń, instrumentów oraz wyrobów medycznych, w tym dentystycznych;"produkcja obłożeń chirurgicznych, sterylnych kompresów i chusteczek; produkcja dentystycznych wypełniaczy i cementu (z wyłączeniem klejów do protez dentystycznych), produkcja wosku dentystycznego i pozostałych gipsowych preparatów dentystycznych; produkcja cementów do rekonstrukcji kości; produkcja dentystycznych pieców laboratoryjnych; produkcja laboratoryjnych myjek ultradźwiękowych; produkcja sterylizatorów medycznych, chirurgicznych lub laboratoryjnych; produkcja wirówek typu laboratoryjnego; produkcja mebli medycznych, chirurgicznych, dentystycznych lub weterynaryjnych, np: stoły operacyjne, stoły do badań, łóżek szpitalnych z wyposażeniem mechanicznym, fotele dentystyczne; produkcja artykułów specjalnie zaprojektowanych do stosowania wyłącznie w implantach w naukach medycznych, chirurgicznych, dentystycznych lub weterynaryjnych, np. płytek, które pozostają na stałe w ciele, na przykład w celu zastąpienia części lub całości kości; produkcja strzykawek, igieł, cewników, kaniul itp.; produkcja instrumentów i urządzeń dentystycznych; produkcja sztucznych zębów i osprzętu dentystycznego; produkcja urządzeń ortopedycznych i protetycznych; produkcja szklanych oczu; produkcja termometrów medycznych; produkcja wyrobów okulistycznych, okularów korekcyjnych, okularów przeciwsłonecznych, soczewek na receptę, soczewek kontaktowych, okularów ochronnych; produkcja obuwia ortopedycznego i specjalnych wkładek korygujących schorzenia ortopedyczne"
3291;3291;Produkcja mioteł, szczotek i pędzli;Produkcja mioteł, szczotek i pędzli;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
3299;3250;Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana;Produkcja urządzeń, instrumentów oraz wyrobów medycznych, w tym dentystycznych;produkcja masek ochrony indywidualnej, na przykład FFP2, FFP3, masek chirurgicznych
3299;3299;Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana;Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana;"produkcja wyrobów ochronnych, na przykład: pasów bezpieczeństwa dla monterów i innych pasów do celów zawodowych, sprzętu ratowniczego wykonanego z korka, kasków ochronnych (na przykład kasków stosowanych przez sportowców) i pozostałego sprzętu ochrony indywidualnej; odzieży przeciwpożarowej; metalowych nakryć głowy i innych metalowych środków ochrony osobistej; zatyczki do uszu i zatyczki przeciwhałasowe, np. do pływania i ochrony przed hałasem; maski przeciwgazowej, odzież i akcesoria chroniące przed zagrożeniami biologicznymi, kamizelki kuloodporne, kombinezony i akcesoria do pomieszczeń czystych; produkcja długopisów i ołówków wszelkiego rodzaju, nawet mechanicznych; produkcja ołówków; produkcja stempli do datowania, plombowania lub numerowania, ręcznie obsługiwanych urządzeń do drukowania lub wytłaczania etykiet, zestawów do ręcznego drukowania, gotowych taśm do maszyn do pisania i poduszek z tuszem; produkcja globusów; produkcja parasoli, parasoli przeciwsłonecznych, lasek, lasek do siedzenia; produkcja guzików, zatrzasków, zatrzasków zatrzaskowych, zatrzasków przesuwnych; produkcja zapalniczek do papierosów i innych zapalniczek; produkcja artykułów użytku osobistego, np.: fajek do palenia, rozpylaczy zapachowych, kolb próżniowych i innych pojemników próżniowych do użytku osobistego lub domowego, peruk, sztucznych bród, brwi; produkcja artykułów różnych, np.: świec, stożków i tym podobnych; sztucznych kwiatów, owoców i liści; żartów i nowinek; ręcznych sit i ręcznych łamigłówek; manekinów krawieckich; trumien pogrzebowych; produkcja koszy kwiatowych, bukietów, wieńców i podobnych artykułów; działalność związana z taksydermią; produkcja modeli w skali przeznaczonych do celów demonstracyjnych"
3311;0330;Naprawa i konserwacja metalowych wyrobów gotowych;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;działalność usługowa w zakresie napraw i konserwacji klatek dla ryb
3311;3311;Naprawa i konserwacja metalowych wyrobów gotowych;Naprawa i konserwacja metalowych wyrobów gotowych;"naprawa metalowych zbiorników, cystern, pojemników; naprawa i konserwacja rur i rurociągów; mobilne naprawy spawalnicze; naprawa stalowych bębnów transportowych; naprawa i konserwacja generatorów pary wodnej i innych rodzajów par; naprawa i konserwacja instalacji pomocniczych do współpracy z wytwornicami pary: skraplacze, ekonomizery, przegrzewacze, kolektory pary i akumulatory; naprawa i konserwacja reaktorów jądrowych, z wyjątkiem separatorów izotopów; naprawy i konserwacja części kotłów okrętowych lub energetycznych; naprawy blacharskie kotłów i grzejników centralnego ogrzewania; naprawy i konserwacji broni palnej i amunicji, w tym naprawy broni sportowej i rekreacyjnej; naprawa i konserwacja wózków sklepowych"
3312;3312;Naprawa i konserwacja maszyn;Naprawa i konserwacja maszyn;"naprawa i konserwacja maszyn i urządzeń przemysłowych komercyjnych oraz wyposażenia, na przykład ostrzenie lub wymiana ostrzy maszyn i pił; naprawę poprzez spawanie elementów (na przykład motoryzacyjnych lub ogólnego przeznaczenia), naprawa maszyn i sprzętu rolniczego oraz innych ciężkich i przemysłowych (np. wózków widłowych i innego sprzętu do transportu materiałów, obrabiarek, komercyjnego sprzętu chłodniczego, sprzętu budowlanego i górniczego); naprawy i konserwacja silników, z wyjątkiem pojazdów mechanicznych, statków, łodzi i samolotów; naprawy i konserwacja lokomotyw kolejowych; naprawy i konserwacja pomp, sprężarek i urządzeń z nimi związanych; naprawy i konserwacja maszyn napędzanych cieczą; naprawa zaworów; naprawa elementów przekładniowych i napędowych; naprawa i konserwacja przemysłowych pieców procesowych; naprawy i konserwacja urządzeń dźwigowych i przeładunkowych; naprawy i konserwacja przemysłowych urządzeń chłodniczych i urządzeń do oczyszczania powietrza; naprawy i konserwacja maszyn ogólnego przeznaczenia typu komercyjnego; naprawa narzędzi ręcznych o napędzie mechanicznym; naprawę i konserwację obrabiarek i akcesoriów do cięcia i formowania metalu; naprawy i konserwacji pozostałych obrabiarek; naprawa i konserwacja ciągników rolniczych; naprawy i konserwacja maszyn rolniczych oraz maszyn leśnych i wyrębowych; naprawy i konserwacja maszyn metalurgicznych; naprawy i konserwacja maszyn górniczych, budowlanych i złóż ropy i gazu; naprawy i konserwacja maszyn do przetwarzania żywności, napojów i tytoniu; naprawa i konserwacja odzieży tekstylnej i maszyn do produkcji skóry; naprawy i konserwacja maszyn papierniczych; naprawy i konserwacja maszyn z tworzyw sztucznych i gumy; naprawy i konserwacji pozostałych maszyn specjalnego przeznaczenia; naprawa i konserwacja urządzeń ważących; naprawa i konserwacja automatów vendingowych; naprawa i konserwacja kas fiskalnych; naprawa i konserwacja kserokopiarek; naprawa kalkulatorów; naprawa maszyn do pisania"
